구간	묶음	제목	부제	수량	본문
초반부		앗, 남주다!		1	· 가장 가까운 남주의 조우 토큰을 획득한다. 선 플레이어부터 순서대로 획득한다.
초반부		주인공, 잔느 등장!		1	· 잔느가 모든 플레이어들을 조우한다.
중반부	① 메인 악녀 공세	이제벨의 벨제붑 강림 의식	북부	1	· 북부(D)에 있는 모든 서브 빌런들은 두근! 토큰을 1개 잃고, 빌런 토큰을 1개 얻는다. 마리오네트를 각성한 캐릭터는 이 효과를 적용받지 않는다.\n· 북부에 성녀가 없다면, 파리 떼 토큰을 북부에 배치한다.\n· 북부에 성녀가 있다면 이를 저지하고, 성녀는 물건 카드를 3장 뽑는다.\n· 이미 재앙으로 인해 파리 떼가 있었다면, 파리 떼 토큰을 없애고 베엘제붑 토큰을 배치한다.
중반부	① 메인 악녀 공세	메살리나의 어둠 연회	동부	1	· (1) 메살리나가 동부(A)의 모든 서브빌런들의 모든 매력 카드를 빼앗는다.\n· (2) 모든 서브빌런들을 동부로 이동 시킨다.\n· (3) (1)의 캐릭터에게서 빼앗은 수 만큼 강제로 해당 캐릭터는 모략을 진행한다. 빼앗은 매력카드는 게임으로 되돌리지 않는다.\n· 팜므파탈 각성 캐릭터는 갈취당하지 않는다.
중반부	① 메인 악녀 공세	루크레치아의 독배	남부	1	· 루크레치아가 남부(C)와 캐릭터가 가장 많이 모여있는 지역의 모든 서브 빌런들에게 독배를 건넨다.\n· 성녀를 제외한 모든 서브빌런들은 빈사가 된다.\n· 독술사(마리)가 있었다면 역공하여 루크레치아를 암살한다.
중반부	① 메인 악녀 공세	로욱시나의 투기장 초대장	서부	1	· 로욱시나가 서부(B)로 서브빌런들을 모아 검투를 강요한다.\n· 모든 서브빌런들을 서부로 이동시킨다. 검 카드 1장을 내지 못하면 두근! 1을 잃는다.\n· 소드마스터는 낸 검 카드 수 당 금화카드를 받을 수 있다.\n· 검성은 금화를 5 지급받는다. 낸 검 카드 수 많큼, 모략을 진행할 수 있다.
중반부		운명의 만남		4	· 잔느가 같은 지역 남주 1명(없으면 가장 가까운 남주 쪽으로 지역을 이동 한 후)와 약혼한다.\n· 약혼이 진행 중인 상대가 있다면 취소하고 잔느가 약혼한다. 성향 카드)를 1장 더 공개한다. 방어하려면 매력 카드 2장이 필요하다.\n· 이미 약혼 중인 상대라면 성향 카드를 1장 더 공개한다.\n· 이미 약혼 중인 상대고, 모든 성향 카드가 공개 되었다면, 가까운 다른 남주를 대상으로 "운명의 만남"을 시도한다.\n· 잔느는 팜므파탈이 아니어도 동시에 여러 명과 약혼할 수 있다.
중반부	③ 중반부 시나리오 - 운명의 강제력	버리는 패는 누구?		1	· 제노비아와 이레네를 남부로 이동시킨다.\n· 제노비아, 이레네, 루크레치아 중 한 명이 사망할 때까지 모략을 진행한다.\n· npc 일 경우 반드시 플레이어블 모략의 상대로 캐릭터를 지정한다.
중반부	③ 중반부 시나리오 - 운명의 강제력	마탑척살령		1	· 플레이어들은 미호가 위치한 지역으로 이동할 수 있다. 이때 잔느 조우는 먼저 처리한다.\n· 미호가 각성했다면 먼저 플레이어를 대상으로 모략을 2번의 기회로 진행한다. 미호가 암습 혹은 암살에 성공하면 상대 플레이어의 물건을 1장 무작위로 가질 수 있다. (npc 일 경우 암살판정이 우선된다.)\n· 그 후 플레이어가 생존했다면 미호에게 모략을 진행한다. 이때, 발각판정 시 아무 일도 일어나지 않는다. 처단하거나 암살하면 금화카드를 2장까지 받을 수 있다.
중반부	③ 중반부 시나리오 - 운명의 강제력	이제벨: 불쌍하게도, 인간때문에 그리되었군요		1	이제벨이 살아있다면 진행한다. 바토리는 북부로 이동한다. 조건에 따라 바토리는 다음 셋 중 하나를 시행한다.\n· 바토리가 진조로 각성했을 경우: 이제벨을 암살한다.\n· 바토리가 진조 외의 능력을 각성했을 경우: 이제벨이 사망 전까지 북부에서 벗어날 수 없다.\n· 바토리가 각성하지 못했을 경우: 같은 지역에 있는 모든 서브빌런들은 두근! 토큰을 1개 잃는다. 처리 직후 이제벨은 사망한다.
중반부	③ 중반부 시나리오 - 운명의 강제력	로욱시나: 오, 찾았다		1	로욱시나가 살아있다면 진행한다. 마리는 서부로 이동한다. 조건에 따라 마리는 다음 둘 중 하나를 시행한다.\n· 마리가 독술사로 각성함: 로욱시나를 암살한다.\n· 마리가 각성 못함: 마리 사망
중반부	③ 중반부 시나리오 - 운명의 강제력	황족능멸죄의 누명		1	메살리나가 살아있다면 진행한다. 샬롯과 데이지는 동부로 이동한다.\n· 샬롯에게 다음의 효과를 부여한다: "각성하지 못했다면, 중반부 시나리오 종료 시 사망."\n· 데이지에게 다음의 효과를 부여한다: "중반 부 시나리오 종료 시, 샬롯이 죽지 않았다면 사망"
중반부	④ 잔느 이벤트	잔느, 여기에 있었구나		1	· 모든 남주들이 잔느가 있는 곳으로 이동한다.
중반부	④ 잔느 이벤트	잔느: 나 시험 준비해야해		1	· 잔느가 아카데미로 이동한다.\n· 이번 막은 추종처리를 하지 않는다.
중반부	④ 잔느 이벤트	잔느: 나 여기 가보고 싶어		1	· 지금부터 운명카드를 뽑기 직전 잔느가 주사위를 굴린다. 굴린 눈에 따라 다음의 지역으로 이동한다.\n| 눈 | 1 | 2 | 3 | 4 | 5 | 6 |\n| --- | --- | --- | --- | --- | --- | --- |\n| 위치 | 동부 | 서부 | 남부 | 북부 | 중부 | 제자리(이동 없음) |
후반부	① 메인 빌런 토벌전	북부 정벌	북부의 마녀	1	남주 지크프리트, 북부(D)\n· 얽힌 서브빌런: 바토리. 개별 저항: 진조 각성 시 지크프리트를 제압해 탈출(무효).
후반부	① 메인 빌런 토벌전	남부 숙청	남부의 보석	1	남주 조반니, 남부(C)\n· 얽힌 서브빌런: 제노비아·이레네. 개별 저항/반전: 교황칙서 (말살 - HAL, ZEN) 단서 공개 → 교회 위선 폭로로 무효화 + 빌런 포인트 1.
후반부	① 메인 빌런 토벌전	동부 정변	제국의 장미	1	남주 가이우스, 동부(A)\n· 얽힌 서브빌런: 데이지·샬롯. 개별 저항: 자기 과거 단서 1장 소모 혹은 2장 공개 → 출생의 진실로 면제.
후반부	① 메인 빌런 토벌전	서부 평정	서부의 꽃	1	남주 알렉, 서부(B)\n· 얽힌 서브빌런: 마리. 개별 저항/반전: 독술사 각성 시 로욱시나(또는 이명 보유자)를 역으로 암살 → 무효화 + 빌런 포인트 1.
후반부	② 엔딩 경로 개봉	극동의 예언	황제의 증표	3	· 황제의 증표를 극동의 섬(G)에 배치한다. (동부 바다(F)–극동(G) 항로는 상시 개방이다.)\n· 취득(기본): 극동(G)에 있는 플레이어가 과거 진실 단서 3장을 지불하면 증표를 가져간다(군림엔딩).\n· 대체 취득: 메인 악녀 상태로 남주와 약혼(서막) / 미호 "요술의 왕" / 그레이스 "만물금본".\n· 황제는 하나뿐: 황제의 증표 보유자끼리 [조우]하면 무조건 [모략]을 진행해 한 명이 죽을 때까지 싸운다. 패한 자는 증표를 잃는다(승자에게 넘어간다).
후반부	② 엔딩 경로 개봉	승천의 문, 태동하다		1	· 아카데미(E) 지하의 승천의 문이 깨어난다. 이후 세계 진실 물건 3장 이상(종류 무관·중복 포함, rules/truth-clues.md)을 가진 플레이어는 승천의 문 토큰을 받는다.\n· 승천의 문 토큰 + 각성 + 아카데미에서 승천의 문 소환 → 승천엔딩.
후반부	② 엔딩 경로 개봉	진실의 규합		1	· 세계 진실 물건을 2장 가진 플레이어는, 1장만 가진 플레이어에게서 세계 진실 물건 1장을 가져와 3장을 채울 수 있다(합의 불필요). 2장 보유자가 여럿이면 선(先) 순서대로 처리한다. 2장 보유자들끼리는 빼앗을 수 없다.\n· → 3장이 흩어져 승천이 막히는 상황을 뚫는 촉매. *(강제/선택·경합 처리는 조정 대상)*
후반부	② 엔딩 경로 개봉	살아남은 대해적	그레이스의 만물금본	1	· 그레이스가 생존 플레이어면 이 카드를 가져가 손에 둔다. (그레이스가 사망/NPC면 이 카드는 버린다.)\n· 자기 턴에 이 카드를 소모하고 만물금본 각성 상태에서 금화 8을 지불하면, 황제의 증표 또는 승천의 문 토큰 중 하나를 구매한다. *(금화 비용 초안 — 조정)*
후반부	② 엔딩 경로 개봉	요술의 왕	미호	1	· 미호가 생존 플레이어면 이 카드를 가져가 손에 둔다. (미호가 사망/NPC면 이 카드는 버린다.)\n· 자기 턴에 이 카드를 소모하고 요술사 각성 상태에서 마법 카드 5장을 소모하면 황제의 증표를 취득한다.
후반부	③ 멸망 관련	사자들의 합창		2	· 모든 악령 플레이어는 즉시 사기 카드 3장을 얻는다.
후반부	③ 멸망 관련	종말의 전조		2	· 징조 카드를 1장 섞어 넣는다.
후반부		잔느의 설득		1	플레이어 전원은 잔느의 설득에 의해 다음 둘 중 하나를 시행해야한다.\n· 오해청산: 빌런 포인트를 모두 잃는다. 현상수배와 여론악화를 제거한다. 앞으로 잔느와 조우하더라도 여론약화가 되지 않는다.\n· 오해가 아니었다: 빌런 토큰을 1 얻는다.
